Name,Type,Show,Date,Location,Confirmed,Link,Micro.blog URL
"Software Defined Interviews Episode 97: The Business and Ethics of Open Source, with Emily Omier",Podcast,Software Defined Interviews,4/2/2025,,,https://www.youtube.com/watch?v=UL2wFyzjuPc,
"Software Defined Interviews Episode 98: From OpenStack to Kubernetes, extreme transparency at GitLab, tech startup marketing, with Melissa Smolensky",Podcast,Software Defined Interviews,4/16/2025,,,https://www.youtube.com/watch?v=_V9KMqNhwv8,
"Software Defined Interviews Episode 99: Catering to Startups, with Robert Reeves",Podcast,Software Defined Interviews,5/1/2025,,,https://www.youtube.com/watch?v=5_4WiWPZeyc,
"Software Defined Interviews Episode 100: &quot;I used to eat 7-Eleven pizza,&quot; startups, open source, and more, with Sarah Christoff",Podcast,Software Defined Interviews,5/14/2025,,,https://www.youtube.com/watch?v=LTCuLyv6SHo,
"Software Defined Interviews Episode 101: A Passion for Politics, with Taegan Goddard",Podcast,Software Defined Interviews,5/29/2025,,,https://www.youtube.com/watch?v=MfEdZvHEhjA,
"Software Defined Interviews Episode 102: The brilliant dummy in my pocket, with WhitneyGPT",Podcast,Software Defined Interviews,6/11/2025,,,https://www.youtube.com/watch?v=Y78F8fWDmlI,
"Software Defined Interviews Episode 103: AI &amp; Critical Thinking, Enterprise Marketing, and the Workplace, with Betty Junod",Podcast,Software Defined Interviews,6/25/2025,,,https://www.youtube.com/watch?v=Vmsp5BE2n8o,
"Software Defined Interviews Episode 104: Exam Creation, Open Source, and Hospice Care, with AmyJune Hineline",Podcast,Software Defined Interviews,7/9/2025,,,https://www.youtube.com/watch?v=lid8VUDsdyc,
"Software Defined Interviews Episode 105: Cords, Cyborgs &amp; Cold Cases: Grandpa Dancy’s Operating System for Life",Podcast,Software Defined Interviews,7/24/2025,,,,
"Software Defined Interviews Episode 106: Communications Skills, Ultrarunning, and Whacky YouTube Thumbnails, with James Eastham",Podcast,Software Defined Interviews,8/6/2025,,,https://www.youtube.com/watch?v=AivOuK_xC50,
"Software Defined Interviews Episode 107: The business value of developer relations, devrel history, plus more stuff, with Mary Thengvall",Podcast,Software Defined Interviews,8/20/2025,,,https://www.youtube.com/watch?v=PJpguFkwYDc,
"Software Defined Interviews Episode 108: Venture Capital, AI, and Horses, with Rachel Chalmers",Podcast,Software Defined Interviews,9/6/2025,,,https://www.youtube.com/watch?v=l30kHn1S0Bg,
"Software Defined Interviews Episode 109: Everyday AI and AI Everyday, with Hannah Foxwell",Podcast,Software Defined Interviews,9/17/2025,,,https://www.youtube.com/watch?v=qPWbr-5Qhag,
"Software Defined Interviews Episode 110: Cows, Tech Careers, Working at Microsoft, and Even More About Cows, with Saad Ansari",Podcast,Software Defined Interviews,9/29/2025,,,,
"Software Defined Interviews Episode 111: The uncontrollable urge to click &quot;publish,&quot; with Manton Reece",Podcast,Software Defined Interviews,10/15/2025,,,,
